vertex_index,node,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
0,ABW_1,85,15,4,1,1,1,1,1,1,1,0
1,AFG_1,113,10,4,1,1,1,1,1,1,1,0
2,AGL_1,195,15,4,1,1,1,1,1,1,1,0
3,AGO_1,113,10,4,1,1,1,1,1,1,1,0
4,ALB_1,245,30,4,1,1,1,1,1,1,1,0
5,AND_1,195,15,4,1,1,1,1,1,1,1,0
6,ANT_1,151,10,4,1,1,1,1,1,1,1,0
7,ARE_1,38,30,4,1,1,1,1,1,1,1,0
8,ARG_1,386,24,4,1,1,1,1,1,1,1,0
9,ARM_1,167,64,4,1,1,1,1,1,1,1,0
10,ASM_1,151,10,4,1,1,1,1,1,1,1,0
11,ATF_1,100,10,4,1,1,1,1,1,1,1,0
12,ATG_1,201,10,4,1,1,1,1,1,1,1,0
13,AUS_1,236,30,4,1,1,1,1,1,1,1,0
14,AUT_1,127,64,4,1,1,1,1,1,1,1,0
15,AZE_1,58,64,4,1,1,1,1,1,1,1,0
16,BDI_1,201,10,4,1,1,1,1,1,1,1,0
17,BEL_1,77,24,4,1,1,1,1,1,1,1,0
18,BEN_1,122,30,4,1,1,1,1,1,1,1,0
19,BES_1,599,58,4,1,1,1,1,1,1,1,0
20,BFA_1,504,30,4,1,1,1,1,1,1,1,0
21,BGD_1,127,64,4,1,1,1,1,1,1,1,0
22,BGR_1,77,24,4,1,1,1,1,1,1,1,0
23,BHR_1,58,64,4,1,1,1,1,1,1,1,0
24,BHS_1,198,15,4,1,1,1,1,1,1,1,0
25,BIH_1,195,15,4,1,1,1,1,1,1,1,0
26,BLR_1,167,64,4,1,1,1,1,1,1,1,0
27,BLZ_1,195,15,4,1,1,1,1,1,1,1,0
28,BMU_1,198,15,4,1,1,1,1,1,1,1,0
29,BOL_1,127,64,4,1,1,1,1,1,1,1,0
30,BRA_1,77,24,4,1,1,1,1,1,1,1,0
31,BRB_1,85,15,4,1,1,1,1,1,1,1,0
32,BRN_1,97,15,4,1,1,1,1,1,1,1,0
33,BTN_1,97,15,4,1,1,1,1,1,1,1,0
34,BVT_1,201,10,4,1,1,1,1,1,1,1,0
35,BWA_1,504,30,4,1,1,1,1,1,1,1,0
36,CAF_1,201,10,4,1,1,1,1,1,1,1,0
37,CAN_1,77,24,4,1,1,1,1,1,1,1,0
38,CCK_1,100,10,4,1,1,1,1,1,1,1,0
39,CHE_1,127,64,4,1,1,1,1,1,1,1,0
40,CHL_1,198,15,4,1,1,1,1,1,1,1,0
41,CHN_1,216,30,4,1,1,1,1,1,1,1,0
42,CIV_1,89,15,4,1,1,1,1,1,1,1,0
43,CMR_1,89,15,4,1,1,1,1,1,1,1,0
44,COD_1,89,15,4,1,1,1,1,1,1,1,0
45,COG_1,43,10,4,1,1,1,1,1,1,1,0
46,COK_1,151,10,4,1,1,1,1,1,1,1,0
47,COL_1,198,15,4,1,1,1,1,1,1,1,0
48,COM_1,43,10,4,1,1,1,1,1,1,1,0
49,CPV_1,43,10,4,1,1,1,1,1,1,1,0
50,CRI_1,85,15,4,1,1,1,1,1,1,1,0
51,CUB_1,195,15,4,1,1,1,1,1,1,1,0
52,CUR_1,85,15,4,1,1,1,1,1,1,1,0
53,CXR_1,100,10,4,1,1,1,1,1,1,1,0
54,CYM_1,198,15,4,1,1,1,1,1,1,1,0
55,CYP_1,167,64,4,1,1,1,1,1,1,1,0
56,CZE_1,167,64,4,1,1,1,1,1,1,1,0
57,DEU_1,77,24,4,1,1,1,1,1,1,1,0
58,DJI_1,43,10,4,1,1,1,1,1,1,1,0
59,DMA_1,195,15,4,1,1,1,1,1,1,1,0
60,DNK_1,386,24,4,1,1,1,1,1,1,1,0
61,DOM_1,97,15,4,1,1,1,1,1,1,1,0
62,DZA_1,113,10,4,1,1,1,1,1,1,1,0
63,ECU_1,195,15,4,1,1,1,1,1,1,1,0
64,EGY_1,113,10,4,1,1,1,1,1,1,1,0
65,ERI_1,201,10,4,1,1,1,1,1,1,1,0
66,ESH_1,100,10,4,1,1,1,1,1,1,1,0
67,ESP_1,386,24,4,1,1,1,1,1,1,1,0
68,EST_1,58,64,4,1,1,1,1,1,1,1,0
69,ETH_1,43,10,4,1,1,1,1,1,1,1,0
70,FIN_1,386,24,4,1,1,1,1,1,1,1,0
71,FJI_1,171,58,4,1,1,1,1,1,1,1,0
72,FLK_1,151,10,4,1,1,1,1,1,1,1,0
73,FRA_1,386,24,4,1,1,1,1,1,1,1,0
74,FRO_1,43,10,4,1,1,1,1,1,1,1,0
75,FSM_1,100,10,4,1,1,1,1,1,1,1,0
76,GAB_1,43,10,4,1,1,1,1,1,1,1,0
77,GBR_1,386,24,4,1,1,1,1,1,1,1,0
78,GEO_1,131,30,4,1,1,1,1,1,1,1,0
79,GGY_1,113,10,4,1,1,1,1,1,1,1,0
80,GHA_1,504,30,4,1,1,1,1,1,1,1,0
81,GIB_1,113,10,4,1,1,1,1,1,1,1,0
82,GIN_1,43,10,4,1,1,1,1,1,1,1,0
83,GLP_1,100,10,4,1,1,1,1,1,1,1,0
84,GMB_1,89,15,4,1,1,1,1,1,1,1,0
85,GNB_1,89,15,4,1,1,1,1,1,1,1,0
86,GNQ_1,89,15,4,1,1,1,1,1,1,1,0
87,GRC_1,127,64,4,1,1,1,1,1,1,1,0
88,GRD_1,43,10,4,1,1,1,1,1,1,1,0
89,GRL_1,43,10,4,1,1,1,1,1,1,1,0
90,GTM_1,85,15,4,1,1,1,1,1,1,1,0
91,GUF_1,100,10,4,1,1,1,1,1,1,1,0
92,GUM_1,100,10,4,1,1,1,1,1,1,1,0
93,GUY_1,201,10,4,1,1,1,1,1,1,1,0
94,HKG_1,131,30,4,1,1,1,1,1,1,1,0
95,HMD_1,100,10,4,1,1,1,1,1,1,1,0
96,HND_1,97,15,4,1,1,1,1,1,1,1,0
97,HRV_1,58,64,4,1,1,1,1,1,1,1,0
98,HTI_1,599,58,4,1,1,1,1,1,1,1,0
99,HUN_1,59,30,4,1,1,1,1,1,1,1,0
100,IDN_1,77,24,4,1,1,1,1,1,1,1,0
101,IMN_1,113,10,4,1,1,1,1,1,1,1,0
102,IND_1,386,24,4,1,1,1,1,1,1,1,0
103,IOT_1,151,10,4,1,1,1,1,1,1,1,0
104,IRL_1,127,64,4,1,1,1,1,1,1,1,0
105,IRN_1,386,24,4,1,1,1,1,1,1,1,0
106,IRQ_1,113,10,4,1,1,1,1,1,1,1,0
107,ISL_1,59,30,4,1,1,1,1,1,1,1,0
108,ISR_1,127,64,4,1,1,1,1,1,1,1,0
109,ITA_1,77,24,4,1,1,1,1,1,1,1,0
110,JAM_1,97,15,4,1,1,1,1,1,1,1,0
111,JEY_1,113,10,4,1,1,1,1,1,1,1,0
112,JOR_1,113,10,4,1,1,1,1,1,1,1,0
113,JPN_1,198,15,4,1,1,1,1,1,1,1,0
114,KAZ_1,167,64,4,1,1,1,1,1,1,1,0
115,KEN_1,89,15,4,1,1,1,1,1,1,1,0
116,KGZ_1,58,64,4,1,1,1,1,1,1,1,0
117,KHM_1,97,15,4,1,1,1,1,1,1,1,0
118,KHX_1,131,30,4,1,1,1,1,1,1,1,0
119,KIR_1,201,10,4,1,1,1,1,1,1,1,0
120,KNA_1,195,15,4,1,1,1,1,1,1,1,0
121,KOR_1,77,24,4,1,1,1,1,1,1,1,0
122,KWT_1,58,64,4,1,1,1,1,1,1,1,0
123,LAO_1,195,15,4,1,1,1,1,1,1,1,0
124,LBN_1,59,30,4,1,1,1,1,1,1,1,0
125,LBR_1,113,10,4,1,1,1,1,1,1,1,0
126,LBY_1,31,58,4,1,1,1,1,1,1,1,0
127,LCA_1,599,58,4,1,1,1,1,1,1,1,0
128,LIE_1,245,30,4,1,1,1,1,1,1,1,0
129,LKA_1,59,30,4,1,1,1,1,1,1,1,0
130,LSO_1,151,10,4,1,1,1,1,1,1,1,0
131,LTU_1,167,64,4,1,1,1,1,1,1,1,0
132,LUX_1,386,24,4,1,1,1,1,1,1,1,0
133,LVA_1,167,64,4,1,1,1,1,1,1,1,0
134,MAR_1,58,64,4,1,1,1,1,1,1,1,0
135,MCA_1,97,15,4,1,1,1,1,1,1,1,0
136,MCO_1,113,10,4,1,1,1,1,1,1,1,0
137,MDA_1,386,24,4,1,1,1,1,1,1,1,0
138,MDG_1,504,30,4,1,1,1,1,1,1,1,0
139,MDV_1,43,10,4,1,1,1,1,1,1,1,0
140,MEX_1,127,64,4,1,1,1,1,1,1,1,0
141,MHL_1,113,10,4,1,1,1,1,1,1,1,0
142,MKD_1,127,64,4,1,1,1,1,1,1,1,0
143,MLI_1,89,15,4,1,1,1,1,1,1,1,0
144,MLT_1,167,64,4,1,1,1,1,1,1,1,0
145,MMR_1,97,15,4,1,1,1,1,1,1,1,0
146,MNE_1,386,24,4,1,1,1,1,1,1,1,0
147,MNG_1,167,64,4,1,1,1,1,1,1,1,0
148,MNP_1,100,10,4,1,1,1,1,1,1,1,0
149,MOZ_1,122,30,4,1,1,1,1,1,1,1,0
150,MRT_1,89,15,4,1,1,1,1,1,1,1,0
151,MST_1,100,10,4,1,1,1,1,1,1,1,0
152,MTQ_1,100,10,4,1,1,1,1,1,1,1,0
153,MUS_1,77,24,4,1,1,1,1,1,1,1,0
154,MWI_1,201,10,4,1,1,1,1,1,1,1,0
155,MYS_1,198,15,4,1,1,1,1,1,1,1,0
156,MYT_1,151,10,4,1,1,1,1,1,1,1,0
157,NAM_1,43,10,4,1,1,1,1,1,1,1,0
158,NCL_1,201,10,4,1,1,1,1,1,1,1,0
159,NER_1,59,30,4,1,1,1,1,1,1,1,0
160,NFK_1,151,10,4,1,1,1,1,1,1,1,0
161,NGA_1,59,30,4,1,1,1,1,1,1,1,0
162,NIC_1,599,58,4,1,1,1,1,1,1,1,0
163,NIU_1,201,10,4,1,1,1,1,1,1,1,0
164,NLD_1,216,30,4,1,1,1,1,1,1,1,0
165,NOR_1,236,30,4,1,1,1,1,1,1,1,0
166,NPL_1,97,15,4,1,1,1,1,1,1,1,0
167,NRU_1,151,10,4,1,1,1,1,1,1,1,0
168,NZL_1,38,30,4,1,1,1,1,1,1,1,0
169,OMN_1,113,10,4,1,1,1,1,1,1,1,0
170,PAK_1,386,24,4,1,1,1,1,1,1,1,0
171,PAN_1,127,64,4,1,1,1,1,1,1,1,0
172,PCN_1,100,10,4,1,1,1,1,1,1,1,0
173,PER_1,236,30,4,1,1,1,1,1,1,1,0
174,PHL_1,127,64,4,1,1,1,1,1,1,1,0
175,PLW_1,171,58,4,1,1,1,1,1,1,1,0
176,PNG_1,171,58,4,1,1,1,1,1,1,1,0
177,POL_1,386,24,4,1,1,1,1,1,1,1,0
178,PRI_1,599,58,4,1,1,1,1,1,1,1,0
179,PRK_1,31,58,4,1,1,1,1,1,1,1,0
180,PRT_1,59,30,4,1,1,1,1,1,1,1,0
181,PRY_1,38,30,4,1,1,1,1,1,1,1,0
182,PSE_1,245,30,4,1,1,1,1,1,1,1,0
183,PYF_1,201,10,4,1,1,1,1,1,1,1,0
184,QAT_1,113,10,4,1,1,1,1,1,1,1,0
185,REU_1,599,58,4,1,1,1,1,1,1,1,0
186,ROU_1,167,64,4,1,1,1,1,1,1,1,0
187,RUS_1,386,24,4,1,1,1,1,1,1,1,0
188,RWA_1,504,30,4,1,1,1,1,1,1,1,0
189,SAU_1,386,24,4,1,1,1,1,1,1,1,0
190,SDN_1,43,10,4,1,1,1,1,1,1,1,0
191,SEN_1,89,15,4,1,1,1,1,1,1,1,0
192,SGP_1,77,24,4,1,1,1,1,1,1,1,0
193,SGS_1,100,10,4,1,1,1,1,1,1,1,0
194,SHN_1,100,10,4,1,1,1,1,1,1,1,0
195,SLB_1,171,58,4,1,1,1,1,1,1,1,0
196,SLE_1,43,10,4,1,1,1,1,1,1,1,0
197,SLV_1,85,15,4,1,1,1,1,1,1,1,0
198,SMR_1,43,10,4,1,1,1,1,1,1,1,0
199,SOM_1,599,58,4,1,1,1,1,1,1,1,0
200,SPM_1,100,10,4,1,1,1,1,1,1,1,0
201,SRB_1,386,24,4,1,1,1,1,1,1,1,0
202,SSD_1,201,10,4,1,1,1,1,1,1,1,0
203,STM_1,85,15,4,1,1,1,1,1,1,1,0
204,STP_1,201,10,4,1,1,1,1,1,1,1,0
205,SUR_1,195,15,4,1,1,1,1,1,1,1,0
206,SVK_1,167,64,4,1,1,1,1,1,1,1,0
207,SVN_1,77,24,4,1,1,1,1,1,1,1,0
208,SWE_1,38,30,4,1,1,1,1,1,1,1,0
209,SWZ_1,113,10,4,1,1,1,1,1,1,1,0
210,SYC_1,198,15,4,1,1,1,1,1,1,1,0
211,SYR_1,31,58,4,1,1,1,1,1,1,1,0
212,TCA_1,43,10,4,1,1,1,1,1,1,1,0
213,TCD_1,201,10,4,1,1,1,1,1,1,1,0
214,TGO_1,122,30,4,1,1,1,1,1,1,1,0
215,THA_1,236,30,4,1,1,1,1,1,1,1,0
216,TJK_1,245,30,4,1,1,1,1,1,1,1,0
217,TKL_1,100,10,4,1,1,1,1,1,1,1,0
218,TKM_1,195,15,4,1,1,1,1,1,1,1,0
219,TLS_1,43,10,4,1,1,1,1,1,1,1,0
220,TON_1,100,10,4,1,1,1,1,1,1,1,0
221,TTO_1,599,58,4,1,1,1,1,1,1,1,0
222,TUN_1,31,58,4,1,1,1,1,1,1,1,0
223,TUR_1,58,64,4,1,1,1,1,1,1,1,0
224,TUV_1,100,10,4,1,1,1,1,1,1,1,0
225,TWN_1,198,15,4,1,1,1,1,1,1,1,0
226,TZA_1,504,30,4,1,1,1,1,1,1,1,0
227,UGA_1,122,30,4,1,1,1,1,1,1,1,0
228,UKR_1,131,30,4,1,1,1,1,1,1,1,0
229,URY_1,198,15,4,1,1,1,1,1,1,1,0
230,USA_1,236,30,4,1,1,1,1,1,1,1,0
231,UZB_1,113,10,4,1,1,1,1,1,1,1,0
232,VAT_1,201,10,4,1,1,1,1,1,1,1,0
233,VCT_1,195,15,4,1,1,1,1,1,1,1,0
234,VEN_1,127,64,4,1,1,1,1,1,1,1,0
235,VGB_1,38,30,4,1,1,1,1,1,1,1,0
236,VIR_1,85,15,4,1,1,1,1,1,1,1,0
237,VNM_1,198,15,4,1,1,1,1,1,1,1,0
238,VUT_1,171,58,4,1,1,1,1,1,1,1,0
