vertex_index,node,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
0,ABW_1,101,9,7,1,0,1,1,1,1,1,4
1,AFG_1,43,17,7,1,0,1,1,1,1,1,4
2,AGL_1,170,29,7,1,0,1,1,1,1,1,4
3,AGO_1,43,17,7,1,0,1,1,1,1,1,4
4,ALB_1,94,26,7,1,0,1,1,1,1,1,4
5,AND_1,170,29,7,1,0,1,1,1,1,1,4
6,ANT_1,125,17,7,1,0,1,1,1,1,1,4
7,ARE_1,64,26,7,1,0,1,1,1,1,1,4
8,ARG_1,109,18,7,1,0,1,1,1,1,1,4
9,ARM_1,94,26,7,1,0,1,1,1,1,1,4
10,ASM_1,216,29,7,1,0,1,1,1,1,1,4
11,ATF_1,125,17,7,1,0,1,1,1,1,1,4
12,ATG_1,97,17,7,1,0,1,1,1,1,1,4
13,AUS_1,64,26,7,1,0,1,1,1,1,1,4
14,AUT_1,122,9,7,1,0,1,1,1,1,1,4
15,AZE_1,20,9,7,1,0,1,1,1,1,1,4
16,BDI_1,97,17,7,1,0,1,1,1,1,1,4
17,BEL_1,513,19,7,1,0,1,1,1,1,1,4
18,BEN_1,130,9,7,1,0,1,1,1,1,1,4
19,BES_1,125,17,7,1,0,1,1,1,1,1,4
20,BFA_1,122,9,7,1,0,1,1,1,1,1,4
21,BGD_1,122,9,7,1,0,1,1,1,1,1,4
22,BGR_1,209,19,7,1,0,1,1,1,1,1,4
23,BHR_1,143,9,7,1,0,1,1,1,1,1,4
24,BHS_1,141,17,7,1,0,1,1,1,1,1,4
25,BIH_1,94,26,7,1,0,1,1,1,1,1,4
26,BLR_1,101,9,7,1,0,1,1,1,1,1,4
27,BLZ_1,43,17,7,1,0,1,1,1,1,1,4
28,BMU_1,64,26,7,1,0,1,1,1,1,1,4
29,BOL_1,94,26,7,1,0,1,1,1,1,1,4
30,BRA_1,209,19,7,1,0,1,1,1,1,1,4
31,BRB_1,101,9,7,1,0,1,1,1,1,1,4
32,BRN_1,43,17,7,1,0,1,1,1,1,1,4
33,BTN_1,170,29,7,1,0,1,1,1,1,1,4
34,BVT_1,97,17,7,1,0,1,1,1,1,1,4
35,BWA_1,130,9,7,1,0,1,1,1,1,1,4
36,CAF_1,97,17,7,1,0,1,1,1,1,1,4
37,CAN_1,209,19,7,1,0,1,1,1,1,1,4
38,CCK_1,113,17,7,1,0,1,1,1,1,1,4
39,CHE_1,109,18,7,1,0,1,1,1,1,1,4
40,CHL_1,94,26,7,1,0,1,1,1,1,1,4
41,CHN_1,513,19,7,1,0,1,1,1,1,1,4
42,CIV_1,11,29,7,1,0,1,1,1,1,1,4
43,CMR_1,97,17,7,1,0,1,1,1,1,1,4
44,COD_1,97,17,7,1,0,1,1,1,1,1,4
45,COG_1,216,29,7,1,0,1,1,1,1,1,4
46,COK_1,216,29,7,1,0,1,1,1,1,1,4
47,COL_1,141,17,7,1,0,1,1,1,1,1,4
48,COM_1,97,17,7,1,0,1,1,1,1,1,4
49,CPV_1,97,17,7,1,0,1,1,1,1,1,4
50,CRI_1,101,9,7,1,0,1,1,1,1,1,4
51,CUB_1,43,17,7,1,0,1,1,1,1,1,4
52,CUR_1,101,9,7,1,0,1,1,1,1,1,4
53,CXR_1,113,17,7,1,0,1,1,1,1,1,4
54,CYM_1,64,26,7,1,0,1,1,1,1,1,4
55,CYP_1,64,26,7,1,0,1,1,1,1,1,4
56,CZE_1,101,9,7,1,0,1,1,1,1,1,4
57,DEU_1,109,18,7,1,0,1,1,1,1,1,4
58,DJI_1,97,17,7,1,0,1,1,1,1,1,4
59,DMA_1,216,29,7,1,0,1,1,1,1,1,4
60,DNK_1,109,18,7,1,0,1,1,1,1,1,4
61,DOM_1,141,17,7,1,0,1,1,1,1,1,4
62,DZA_1,89,29,7,1,0,1,1,1,1,1,4
63,ECU_1,43,17,7,1,0,1,1,1,1,1,4
64,EGY_1,141,17,7,1,0,1,1,1,1,1,4
65,ERI_1,97,17,7,1,0,1,1,1,1,1,4
66,ESH_1,113,17,7,1,0,1,1,1,1,1,4
67,ESP_1,209,19,7,1,0,1,1,1,1,1,4
68,EST_1,122,9,7,1,0,1,1,1,1,1,4
69,ETH_1,97,17,7,1,0,1,1,1,1,1,4
70,FIN_1,109,18,7,1,0,1,1,1,1,1,4
71,FJI_1,86,29,7,1,0,1,1,1,1,1,4
72,FLK_1,97,17,7,1,0,1,1,1,1,1,4
73,FRA_1,209,19,7,1,0,1,1,1,1,1,4
74,FRO_1,97,17,7,1,0,1,1,1,1,1,4
75,FSM_1,113,17,7,1,0,1,1,1,1,1,4
76,GAB_1,89,29,7,1,0,1,1,1,1,1,4
77,GBR_1,109,18,7,1,0,1,1,1,1,1,4
78,GEO_1,20,9,7,1,0,1,1,1,1,1,4
79,GGY_1,141,17,7,1,0,1,1,1,1,1,4
80,GHA_1,109,18,7,1,0,1,1,1,1,1,4
81,GIB_1,141,17,7,1,0,1,1,1,1,1,4
82,GIN_1,97,17,7,1,0,1,1,1,1,1,4
83,GLP_1,113,17,7,1,0,1,1,1,1,1,4
84,GMB_1,89,29,7,1,0,1,1,1,1,1,4
85,GNB_1,11,29,7,1,0,1,1,1,1,1,4
86,GNQ_1,89,29,7,1,0,1,1,1,1,1,4
87,GRC_1,143,9,7,1,0,1,1,1,1,1,4
88,GRD_1,216,29,7,1,0,1,1,1,1,1,4
89,GRL_1,216,29,7,1,0,1,1,1,1,1,4
90,GTM_1,94,26,7,1,0,1,1,1,1,1,4
91,GUF_1,113,17,7,1,0,1,1,1,1,1,4
92,GUM_1,113,17,7,1,0,1,1,1,1,1,4
93,GUY_1,97,17,7,1,0,1,1,1,1,1,4
94,HKG_1,143,9,7,1,0,1,1,1,1,1,4
95,HMD_1,113,17,7,1,0,1,1,1,1,1,4
96,HND_1,94,26,7,1,0,1,1,1,1,1,4
97,HRV_1,20,9,7,1,0,1,1,1,1,1,4
98,HTI_1,125,17,7,1,0,1,1,1,1,1,4
99,HUN_1,94,26,7,1,0,1,1,1,1,1,4
100,IDN_1,209,19,7,1,0,1,1,1,1,1,4
101,IMN_1,141,17,7,1,0,1,1,1,1,1,4
102,IND_1,109,18,7,1,0,1,1,1,1,1,4
103,IOT_1,97,17,7,1,0,1,1,1,1,1,4
104,IRL_1,64,26,7,1,0,1,1,1,1,1,4
105,IRN_1,109,18,7,1,0,1,1,1,1,1,4
106,IRQ_1,216,29,7,1,0,1,1,1,1,1,4
107,ISL_1,122,9,7,1,0,1,1,1,1,1,4
108,ISR_1,64,26,7,1,0,1,1,1,1,1,4
109,ITA_1,513,19,7,1,0,1,1,1,1,1,4
110,JAM_1,141,17,7,1,0,1,1,1,1,1,4
111,JEY_1,141,17,7,1,0,1,1,1,1,1,4
112,JOR_1,141,17,7,1,0,1,1,1,1,1,4
113,JPN_1,64,26,7,1,0,1,1,1,1,1,4
114,KAZ_1,101,9,7,1,0,1,1,1,1,1,4
115,KEN_1,89,29,7,1,0,1,1,1,1,1,4
